Ticker,Date,Close,Shares Outstanding,Report Date,total debt,long term debt,fiscal year,beta,coe,weird tax rate,cod,market cap,Wacc
ENZ,2018-07-31,4.42,47182254.0,2018-07-31,20539000,,2018,0.82,0.0701,0.09607637064284458,-0.03280928964409173,208545562.68,0.06149120865706341
EOG,2018-12-31,87.21,579903041.0,2018-12-31,14570286000,5170169000.0,2018,1.97,0.13335,0.19381239981721288,0.013286704186863592,50573344205.60999,0.105872091887568
EPAM,2018-12-31,116.01,54080192.0,2018-12-31,349206000,68716000.0,2018,1.31,0.09705,0.03810259715821962,-0.007967732513187059,6273843073.92,0.09160107125174294
EPD,2018-12-31,24.59,2182661550.0,2018-12-31,32677600000,24678100000.0,2018,1.38,0.10089999999999999,0.014027170373127396,0.026513360834332998,53671647514.5,0.07064241877948889
EPZM,2018-12-31,6.16,79175000.0,2018-12-31,42492000,53000.0,2018,2.1,0.1405,-0.00046126581049255044,-0.08472253600677776,487718000.0,0.12387611569000961
EQR,2018-12-31,66.01,369405161.0,2018-12-31,9615454000,5933286000.0,2018,0.58,0.0569,0.001279752794904332,0.03396141253444715,24384434677.61,0.04839581460863992
EQT,2018-12-31,18.89,254472000.0,2018-12-31,9763115000,4792991000.0,2018,1.28,0.09540000000000001,0.22632871378757147,0.01852654813550798,4806976080.0,0.041281705277576075
ES,2018-12-31,65.04,322921013.0,2018-12-31,26598869000,12248743000.0,2018,0.36,0.0448,0.21735536381968734,0.014814763364562607,21002782685.52,0.026306416279084973
ESCA,2018-12-31,11.45,14438824.0,2018-12-31,21206000,0.0,2018,1.2,0.091,0.2269117313365101,0.015907290389512403,165324534.79999998,0.08208320092587865
ESS,2018-12-31,245.21,65890322.0,2018-12-31,5954277000,,2018,0.68,0.062400000000000004,0.0,0.02925437966691842,16156965857.62,0.051819960284169186
ETM,2018-12-31,5.71,141225412.0,2018-12-31,2686098000,1872203000.0,2018,1.46,0.1053,0.011324098816600348,0.02974038549598712,806397102.52,0.042383232230891396
ETN,2018-12-31,68.66,423600000.0,2018-12-31,14947000000,6768000000.0,2018,1.14,0.0877,0.11468646864686471,0.01432327557369372,29084376000.0,0.061770290240305004
ETR,2018-12-31,86.07,181142215.0,2018-12-31,39211359000,15518303000.0,2018,0.56,0.0558,5.949503933528814,0.015479554789212993,15590910445.05,0.02462457443275977
EV,2018-10-31,45.05,116950780.0,2018-10-31,2155800000,619678000.0,2018,1.46,0.1053,0.26752694506060914,0.014260529733741535,5268632639.0,0.07799570641194419
EVC,2018-12-31,2.91,87490873.0,2018-12-31,357677000,240541000.0,2018,0.44,0.0492,0.36787782551840087,0.02599635984421699,254598440.43,0.03245581801419309
EVLO,2018-12-31,13.01,31825769.0,2018-12-31,22918000,12305000.0,2018,1.0,0.08,0.0,-0.053877738022515054,414053254.69,0.07357186938533813
EVOP,2018-12-31,24.67,81185334.0,2018-12-31,1386976000,677250000.0,2018,1.56,0.11080000000000001,-0.11813677804673883,0.03277389082435457,2002842189.7800002,0.07605883684409546
EVRI,2018-12-31,5.15,95100000.0,2018-12-31,1657156000,1155016000.0,2018,2.72,0.1746,-3.669690098261527,0.03956826635512891,489765000.00000006,0.06395852157578226
EW,2018-12-31,51.06,623100000.0,2018-12-31,2183300000,593800000.0,2018,0.86,0.0723,0.05148410822169691,-0.0007598589291439564,31815486000.0,0.06761856225689941
EXAS,2018-12-31,63.1,123192540.0,2018-12-31,843081000,688822000.0,2018,1.89,0.12895,-0.000525543108816029,0.034472737494973794,7773449274.0,0.11899758559152718
EXC,2018-12-31,45.1,968187955.0,2018-12-31,86596000000,34075000000.0,2018,0.43,0.04865,0.06630824372759858,0.014176867291791769,43665276770.5,0.023753545117911473
EXEL,2019-01-31,23.57,299876080.0,2019-01-31,134833000,12178000.0,2018,1.53,0.10915,-0.526392858090831,-0.0,7068079205.6,0.10710679559462657
EXPE,2018-12-31,112.65,378626985.0,2018-12-31,12352000000,3717000000.0,2018,1.58,0.1119,0.1793814432989691,0.007610913212435233,42652329860.25,0.08812149195666875
EXPR,2019-02-28,5.2,67424000.0,2019-02-28,501449000,,2018,1.94,0.1317,0.5253819615574175,3.9385859778362305e-05,350604800.0,0.05421049076947958
